6383.48159662988  80113.87
6388.19384359639  79993.31
6392.9060905629  79674.74
6397.61833752942  79943.26
6402.33058449593  79805.95
6407.04283146244  79815.19
6411.75507842895  80267.26
6416.46732539546  80296.83
6421.17957236198  80875.85
6425.89181932849  81282.35
6430.604066295  81364.87
6435.31631326152  81935.89
6440.02856022803  82114.34
6444.74080719454  82124.8
6449.45305416105  82105.81
6454.16530112757  82127.94
6458.87754809408  82241.52
6463.58979506059  82572.37
6468.3020420271  82842.92
6473.01428899362  82569.48
6477.72653596013  82655.82
6482.43878292664  82503.03
6487.15102989315  82713.34
6491.86327685967  83018.56
6496.57552382618  83335.63
6501.28777079269  82929.7
6506.0000177592  82841.09
6510.71226472572  83168.03
6515.42451169223  83064.55
6520.13675865874  82986.67
6524.84900562525  83228.41
6529.56125259176  83284.79
6534.27349955828  82853.72
6538.98574652479  82835.52
6543.6979934913  83058.22
6548.41024045782  82957.5
6553.12248742433  81994.78
6557.83473439084  80683.52
6562.54698135735  79580.64
6567.25922832387  78814.03
6571.97147529038  77981.33
6576.68372225689  77023.2
6581.3959692234  76824.91
6586.10821618992  77441.77
6590.82046315643  77489.48
6595.53271012294  78085.96
6600.24495708945  80279.81
6604.95720405597  81914.97
6609.66945102248  82212.77
6614.38169798899  82031.77
6619.0939449555  81493.9
6623.80619192202  79901.11
6628.51843888853  79044.53
6633.23068585504  79462.11
6637.94293282156  80351.05
6642.65517978807  80410.2
6647.36742675458  80248.72
6652.07967372109  80573.51
6656.7919206876  80882.4
6661.50416765412  81142.04
6666.21641462063  80137.02
6670.92866158714  80279.1
6675.64090855365  81001.03
6680.35315552017  79996.98
6685.06540248668  80430.78
6689.77764945319  81485.52
6694.4898964197  81223.95
6699.20214338622  81328.67
6703.91439035273  81824.38
6708.62663731924  82151.58
6713.33888428575  82880.92
6718.05113125227  83027.7
6722.76337821878  83349.89
6727.47562518529  84006.68
6732.1878721518  84264.74
6736.90011911832  83734.95
6741.61236608483  83242.89
6746.32461305134  83275.08
6751.03686001785  83062.89
6755.74910698437  82981.16
6760.46135395088  83397.74
6765.17360091739  83570.01
6769.8858478839  83355.
6774.59809485042  82609.98
6779.31034181693  81812.77
6784.02258878344  81998.73
6788.73483574995  82595.92
6793.44708271647  82539.3
6798.15932968298  82047.79
6802.87157664949  81776.27
6807.583823616  81770.59
6812.29607058252  82658.52
6817.00831754903  83501.37
6821.72056451554  83968.76
6826.43281148205  84527.91
6831.14505844857  80409.45
